2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.164s — 'classic'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.040s — 'SALEI'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.016s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.029s — 'B'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.023s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.019s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.048s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.023s — '='
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.049s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.023s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.018s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.018s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.029s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.017s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.039s — '4d 21h'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.033s — ''
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 0.046s — '202 Sale'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.044s — '30 Sale'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 0.018s — ''
